,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,399001.SZ,20201210,13731.3422,13672.0533,13814.8039,13621.127,13716.5307,14.8115,0.108,290107302.0,387611307.3
1,399001.SZ,20201209,13716.5307,13998.6174,14017.3504,13710.8602,13973.8919,-257.3612,-1.8417,336123707.0,452216109.1
2,399001.SZ,20201208,13973.8919,14000.8657,14040.5013,13942.663,13973.4819,0.41,0.0029,292386040.0,397065068.3
3,399001.SZ,20201207,13973.4819,14021.1614,14054.8751,13958.7399,14026.6567,-53.1748,-0.3791,316904138.0,432134435.7
4,399001.SZ,20201204,14026.6567,13933.8767,14049.2121,13903.8362,13970.684,55.9727,0.4006,318523976.0,419353421.3
5,399001.SZ,20201203,13970.684,13955.9785,14009.5111,13889.6194,13961.5754,9.1086,0.0652,373665931.0,473931202.2
6,399001.SZ,20201202,13961.5754,13950.7382,13991.4499,13858.4451,13930.3746,31.2008,0.224,387312122.0,497639738.0
7,399001.SZ,20201201,13930.3746,13650.3888,13940.899,13646.6879,13670.1106,260.264,1.9039,366602678.0,479663929.1
8,399001.SZ,20201130,13670.1106,13720.6808,13815.4887,13634.1568,13690.8834,-20.7728,-0.1517,370010451.0,496181130.6
9,399001.SZ,20201127,13690.8834,13627.8557,13690.8834,13542.6765,13599.9939,90.8895,0.6683,309656151.0,399652382.8
10,399001.SZ,20201126,13599.9939,13651.4321,13692.7342,13452.676,13656.0949,-56.101,-0.4108,317605030.0,415973552.0
11,399001.SZ,20201125,13656.0949,13923.659,13933.786,13656.0949,13902.5372,-246.4423,-1.7726,368577403.0,479922035.7
12,399001.SZ,20201124,13902.5372,13958.0126,13962.3404,13848.9087,13955.2848,-52.7476,-0.378,355272727.0,470795324.6
13,399001.SZ,20201123,13955.2848,13871.7112,14021.5046,13795.9196,13852.4182,102.8666,0.7426,401038362.0,522455262.2
14,399001.SZ,20201120,13852.4182,13789.9845,13865.7193,13773.2136,13777.4452,74.973,0.5442,329381875.0,438277463.7
15,399001.SZ,20201119,13777.4452,13633.9713,13812.7811,13578.3253,13658.2034,119.2418,0.873,346924664.0,454766948.5
16,399001.SZ,20201118,13658.2034,13710.0233,13773.5817,13602.6927,13732.5199,-74.3165,-0.5412,347491904.0,463012960.2
17,399001.SZ,20201117,13732.5199,13843.0116,13843.0116,13628.821,13850.8288,-118.3089,-0.8542,361143824.0,499915287.5
18,399001.SZ,20201116,13850.8288,13811.8499,13850.8288,13669.2547,13754.5536,96.2752,0.7,336170766.0,467276089.8
19,399001.SZ,20201113,13754.5536,13755.2852,13802.7123,13620.8899,13792.0742,-37.5206,-0.272,296359044.0,425634559.0
20,399001.SZ,20201112,13792.0742,13789.2954,13846.8683,13724.3358,13720.174,71.9002,0.524,302522399.0,421166034.0
21,399001.SZ,20201111,13720.174,13925.4352,13981.9867,13715.4373,13993.3352,-273.1612,-1.9521,350606538.0,513813237.5
22,399001.SZ,20201110,13993.3352,14121.6855,14121.6855,13908.2079,14141.1529,-147.8177,-1.0453,394359786.0,591195898.1
23,399001.SZ,20201109,14141.1529,13934.3703,14197.8467,13934.3703,13838.4217,302.7312,2.1876,436939492.0,653600484.0
24,399001.SZ,20201106,13838.4217,13932.4138,13932.4138,13708.749,13894.2566,-55.8349,-0.4019,366011525.0,552968421.0
25,399001.SZ,20201105,13894.2566,13802.1789,13894.2566,13728.6406,13659.4993,234.7573,1.7186,365666337.0,543460270.0
26,399001.SZ,20201104,13659.4993,13586.3292,13691.6923,13544.8299,13580.035,79.4643,0.5852,313047921.0,459035900.6
27,399001.SZ,20201103,13580.035,13476.5834,13592.9195,13414.0029,13420.9609,159.0741,1.1853,340463044.0,481006434.7
28,399001.SZ,20201102,13420.9609,13269.9698,13462.4226,13258.1628,13236.601,184.3599,1.3928,339213436.0,487108359.3
29,399001.SZ,20201030,13236.601,13544.2856,13550.3582,13204.2453,13519.6613,-283.0603,-2.0937,375533727.0,541925080.2
30,399001.SZ,20201029,13519.6613,13219.8925,13582.307,13200.7786,13388.1038,131.5575,0.9826,333886231.0,501664581.2
31,399001.SZ,20201028,13388.1038,13273.4991,13438.4685,13188.6553,13269.6543,118.4495,0.8926,323764777.0,476942312.1
32,399001.SZ,20201027,13269.6543,13159.3682,13291.8035,13146.5511,13191.247,78.4073,0.5944,287862556.0,413768087.5
33,399001.SZ,20201026,13191.247,13056.301,13242.6325,12922.5877,13128.4553,62.7917,0.4783,275996973.0,398146021.3
34,399001.SZ,20201023,13128.4553,13405.5349,13487.1072,13110.0177,13396.1815,-267.7262,-1.9985,302441216.0,437815005.0
35,399001.SZ,20201022,13396.1815,13419.3912,13435.4069,13252.0627,13467.9132,-71.7317,-0.5326,301609581.0,427265152.0
36,399001.SZ,20201021,13467.9132,13613.8685,13613.8685,13396.5413,13603.881,-135.9678,-0.9995,317733958.0,459418254.6
37,399001.SZ,20201020,13603.881,13417.2213,13603.881,13371.5541,13421.1948,182.6862,1.3612,316415075.0,439564288.3
38,399001.SZ,20201019,13421.1948,13638.7803,13660.5388,13393.0225,13532.7292,-111.5344,-0.8242,329474818.0,455213802.8
39,399001.SZ,20201016,13532.7292,13611.9135,13665.5773,13439.8832,13624.8908,-92.1616,-0.6764,324165932.0,455149173.3
